Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2019-05-15 04-PM,ETHUSD,239.35,243.97,236.91,240.67,14749.36,3540038.17
2019-05-15 03-PM,ETHUSD,231.4,239.5,231.25,239.35,6258.48,1471132.17
2019-05-15 02-PM,ETHUSD,232.2,233.57,230.41,231.4,4089.58,948398.08
2019-05-15 01-PM,ETHUSD,231.43,234.37,227.68,232.2,8960.35,2068934.92
2019-05-15 12-PM,ETHUSD,232.21,233.27,228.29,231.43,6594.81,1520771.59
2019-05-15 11-AM,ETHUSD,233.38,235.08,231.12,232.21,11968.49,2787470.97
2019-05-15 10-AM,ETHUSD,234,237.4,232.93,233.38,8759.12,2058991.65
2019-05-15 09-AM,ETHUSD,228.18,235,227.57,234,6570.33,1520784.6
2019-05-15 08-AM,ETHUSD,227.79,231.39,225.73,228.18,7044.39,1614975.31
2019-05-15 07-AM,ETHUSD,231.57,232.75,225.43,227.79,10832.24,2483926.71
2019-05-15 06-AM,ETHUSD,229.86,235.28,229.55,231.57,9793.19,2275649.89
2019-05-15 05-AM,ETHUSD,226.63,229.96,225,229.86,4529.76,1034882.13
2019-05-15 04-AM,ETHUSD,229.89,230.12,225.57,226.63,3172.06,721483.61
2019-05-15 03-AM,ETHUSD,223.27,230.92,223.27,229.89,10210.15,2324041.28
2019-05-15 02-AM,ETHUSD,221.56,224.64,219.28,223.27,4910.16,1085816.7
2019-05-15 01-AM,ETHUSD,220.78,223.96,220.5,221.56,2258.73,500905.25
2019-05-15 12-AM,ETHUSD,217.5,223.01,217.29,220.78,8993.62,1982156.49
2019-05-14 11-PM,ETHUSD,216.7,220.99,215.49,217.5,9985.76,2178846.27
2019-05-14 10-PM,ETHUSD,208.37,216.7,208.37,216.7,7570.56,1605899.79
2019-05-14 09-PM,ETHUSD,204.7,209.45,202.63,208.37,2237.48,464037.04
2019-05-14 08-PM,ETHUSD,204.65,206.55,202.72,204.7,2850.86,585397.14
2019-05-14 07-PM,ETHUSD,205.47,205.66,201.36,204.65,6472.02,1318203.62
2019-05-14 06-PM,ETHUSD,208.49,208.68,204.84,205.47,4886.68,1009481.25
2019-05-14 05-PM,ETHUSD,207.85,209.3,206,208.49,3419.39,709517.25
2019-05-14 04-PM,ETHUSD,203.76,208.45,199.54,207.85,7645.18,1560180.66
2019-05-14 03-PM,ETHUSD,207.32,208.91,203.36,203.76,4563.46,943279.27
2019-05-14 02-PM,ETHUSD,207.94,210.86,203.93,207.32,9069.45,1881381.13
2019-05-14 01-PM,ETHUSD,209.39,209.99,205.9,207.94,4529.5,940305.05
2019-05-14 12-PM,ETHUSD,206.71,210,206.48,209.39,5005.18,1045821.03
2019-05-14 11-AM,ETHUSD,205.93,207.64,205.08,206.71,2487.06,512709.15
2019-05-14 10-AM,ETHUSD,207.55,207.77,202.51,205.93,2883.83,591327.8
2019-05-14 09-AM,ETHUSD,206.65,209.54,206.13,207.55,3168.98,659547.35
2019-05-14 08-AM,ETHUSD,214.95,215.35,204,206.65,15245.07,3209480.99
2019-05-14 07-AM,ETHUSD,210.9,215,209.72,214.95,12203.97,2587219.43
2019-05-14 06-AM,ETHUSD,208.54,210.99,208.22,210.9,5452.85,1143752.58
2019-05-14 05-AM,ETHUSD,211.13,214.4,207.52,208.54,12779.83,2695553.88
2019-05-14 04-AM,ETHUSD,209.31,212.39,208.18,211.13,10586.72,2231277.01
2019-05-14 03-AM,ETHUSD,204.57,211,204.55,209.31,14037.45,2918764.24
2019-05-14 02-AM,ETHUSD,199.71,206.65,198.2,204.57,5493.08,1108927.36
2019-05-14 01-AM,ETHUSD,197.13,201.48,196.76,199.71,3763.89,750030.91
2019-05-14 12-AM,ETHUSD,196.47,198.71,194.99,197.13,2229.34,440511.65
2019-05-13 11-PM,ETHUSD,196.99,197.54,191.37,196.47,7839.66,1524866.01
2019-05-13 10-PM,ETHUSD,204.6,206,193,196.99,7404.28,1475632.98
2019-05-13 09-PM,ETHUSD,200.76,205.35,199.85,204.6,6751.27,1370661.65
2019-05-13 08-PM,ETHUSD,202.21,202.21,199.43,200.76,4481.81,899089.56
2019-05-13 07-PM,ETHUSD,202.03,202.98,201.08,202.21,3551.89,717463.37
2019-05-13 06-PM,ETHUSD,200.2,202.64,199.47,202.03,3484.56,700856.79
2019-05-13 05-PM,ETHUSD,204.6,204.65,199.3,200.2,6272.38,1264519.02
2019-05-13 04-PM,ETHUSD,202.68,208.9,199.96,204.6,18258.09,3728070.92
2019-05-13 03-PM,ETHUSD,196.32,204.28,195.57,202.68,22144.03,4438392.01
2019-05-13 02-PM,ETHUSD,193.86,198.4,193.04,196.32,7609.23,1487792.93
2019-05-13 01-PM,ETHUSD,194.14,195,193.06,193.86,6063.26,1177781.71
2019-05-13 12-PM,ETHUSD,192.23,194.33,191.52,194.14,10454.42,2017252.66
2019-05-13 11-AM,ETHUSD,190.31,193.48,189.65,192.23,6715.77,1288684.74
2019-05-13 10-AM,ETHUSD,190,190.32,188.47,190.31,2600.1,493552.68
2019-05-13 09-AM,ETHUSD,188.24,190.5,187.94,190,4563.08,865026.48
2019-05-13 08-AM,ETHUSD,187.76,188.59,186.69,188.24,3150.07,590737.12
2019-05-13 07-AM,ETHUSD,190.05,190.05,187,187.76,1170.46,220282.85
2019-05-13 06-AM,ETHUSD,189.87,190.77,189.21,190.05,929.36,176674.17
2019-05-13 05-AM,ETHUSD,191.8,192.5,189.54,189.87,1558.84,297636.47
2019-05-13 04-AM,ETHUSD,189.2,191.87,189.12,191.8,981.73,186666.4
2019-05-13 03-AM,ETHUSD,189.44,189.83,188,189.2,1484.91,280347.18
2019-05-13 02-AM,ETHUSD,189.67,190.02,188.48,189.44,855.4,161764.55
2019-05-13 01-AM,ETHUSD,190.27,191.22,189.32,189.67,2035.61,386574.8
2019-05-13 12-AM,ETHUSD,188.26,190.76,185.64,190.27,3858.92,726320.81
2019-05-12 11-PM,ETHUSD,187.4,188.56,185.31,188.26,2349.14,439275.68
2019-05-12 10-PM,ETHUSD,191.03,191.04,185.45,187.4,4905.11,917977.85
